Gene name,Gene type,Chromosome/scaffold name,Strand,Transcript count
PFN1P6,processed_pseudogene,1,1,1
AC246785.1,unprocessed_pseudogene,1,-1,1
RNVU1-26,snRNA,1,-1,1
RNVU1-2A,snRNA,1,-1,1
RNVU1-28,snRNA,1,-1,1
PPIAL4F,protein_coding,1,1,1
LINC01632,lncRNA,1,-1,2
FP700111.1,lncRNA,1,1,1
FP700107.1,unprocessed_pseudogene,1,1,1
RNA5SP59,rRNA_pseudogene,1,-1,1
FP700111.2,unprocessed_pseudogene,1,-1,1
FP700111.3,processed_pseudogene,1,-1,1
SRGAP2B,protein_coding,1,-1,7
AC242498.1,processed_pseudogene,1,1,1
FAM72D,protein_coding,1,1,1
AC241585.3,unprocessed_pseudogene,1,1,1
LINC01145,transcribed_unprocessed_pseudogene,1,-1,9
RNU1-153P,snRNA,1,1,1
AC241585.2,TEC,1,1,2
AC241585.1,processed_pseudogene,1,1,1
PPIAL4D,protein_coding,1,-1,1
AC245014.2,processed_pseudogene,1,-1,1
AC245014.3,lncRNA,1,1,1
RNVU1-14,snRNA,1,1,1
AC245014.1,lncRNA,1,-1,1
NBPF20,protein_coding,1,-1,5
PFN1P3,processed_pseudogene,1,1,1
RNU1-154P,snRNA,1,-1,1
AC239860.3,TEC,1,1,1
RNVU1-31,snRNA,1,-1,1
AC239860.4,lncRNA,1,1,1
AC239860.2,unprocessed_pseudogene,1,1,1
AC239860.1,unprocessed_pseudogene,1,1,1
NBPF25P,transcribed_unprocessed_pseudogene,1,-1,2
GPR89A,protein_coding,1,1,13
PDZK1,protein_coding,1,-1,7
CD160,protein_coding,1,1,5
RNF115,protein_coding,1,-1,2
POLR3C,protein_coding,1,1,6
NUDT17,protein_coding,1,1,5
PIAS3,protein_coding,1,-1,9
MIR6736,miRNA,1,-1,1
ANKRD35,protein_coding,1,-1,2
ITGA10,protein_coding,1,-1,4
AC243547.1,lncRNA,1,1,1
PEX11B,protein_coding,1,-1,3
RBM8A,protein_coding,1,-1,9
GNRHR2,transcribed_unitary_pseudogene,1,1,5
LIX1L-AS1,lncRNA,1,1,19
AC243547.3,protein_coding,1,1,2
LIX1L,protein_coding,1,-1,1
ANKRD34A,protein_coding,1,-1,3
AC243547.2,lncRNA,1,1,1
POLR3GL,protein_coding,1,1,4
TXNIP,protein_coding,1,-1,4
HJV,protein_coding,1,-1,7
AC239799.2,lncRNA,1,-1,1
RNVU1-6,snRNA,1,-1,1
LINC01719,lncRNA,1,1,9
NBPF10,protein_coding,1,-1,3
NOTCH2NLA,protein_coding,1,-1,3
AC239799.1,lncRNA,1,1,1
RNU6-1071P,snRNA,1,1,1
NUDT4P2,processed_pseudogene,1,1,1
SEC22B4P,transcribed_unprocessed_pseudogene,1,-1,2
PPIAL4H,protein_coding,1,-1,1
RNVU1-29,snRNA,1,1,1
AC245407.2,lncRNA,1,1,1
RNVU1-25,snRNA,1,1,1
AC245407.1,unprocessed_pseudogene,1,1,1
HYDIN2,transcribed_unprocessed_pseudogene,1,1,7
RNA5SP536,rRNA,1,-1,1
AC241929.1,snRNA,1,-1,1
NBPF12,protein_coding,1,1,8
PFN1P8,processed_pseudogene,1,-1,1
AC244394.2,lncRNA,1,-1,2
NBPF13P,unprocessed_pseudogene,1,-1,1
AC244394.1,processed_pseudogene,1,1,1
RNU1-151P,snRNA,1,1,1
AC241584.1,processed_pseudogene,1,-1,1
RNVU1-8,snRNA,1,-1,1
AC241584.2,unprocessed_pseudogene,1,-1,1
PRKAB2,protein_coding,1,-1,3
PDIA3P1,transcribed_processed_pseudogene,1,1,3
AC242426.2,lncRNA,1,1,4
FMO5,protein_coding,1,-1,9
CCT8P1,processed_pseudogene,1,-1,1
RPL7AP15,processed_pseudogene,1,1,1
CHD1L,protein_coding,1,1,34
LINC00624,lncRNA,1,-1,2
AC242426.1,processed_pseudogene,1,1,1
OR13Z1P,unitary_pseudogene,1,1,1
AC242425.1,misc_RNA,1,-1,1
OR13Z2P,unprocessed_pseudogene,1,1,1
OR13Z3P,unprocessed_pseudogene,1,1,1
BCL9,protein_coding,1,1,3
AC242628.1,protein_coding,1,1,1
ACP6,protein_coding,1,-1,10
RN7SL261P,misc_RNA,1,1,1
AC241644.1,lncRNA,1,1,1
GJA5,protein_coding,1,-1,3
AC241644.3,lncRNA,1,1,2
AC241644.2,lncRNA,1,1,1
AC239801.1,processed_pseudogene,1,1,1
GJA8,protein_coding,1,1,1
GPR89B,protein_coding,1,1,8
PDZK1P1,transcribed_unprocessed_pseudogene,1,-1,3
AC239803.1,lncRNA,1,1,1
LINC02804,lncRNA,1,1,5
RNU1-129P,snRNA,1,-1,1
RNVU1-7,snRNA,1,-1,1
PDE4DIPP1,unprocessed_pseudogene,1,1,1
NBPF11,protein_coding,1,-1,5
PFN1P4,processed_pseudogene,1,1,1
ABHD17AP1,unprocessed_pseudogene,1,1,1
LINC02805,lncRNA,1,1,20
AC239809.3,lncRNA,1,-1,28
RNA5SP57,rRNA_pseudogene,1,1,1
AC239809.1,unprocessed_pseudogene,1,1,1
AC239809.2,processed_pseudogene,1,1,1
RNVU1-22,snRNA,1,1,1
LINC01731,lncRNA,1,-1,1
AC245100.3,unprocessed_pseudogene,1,-1,1
LINC01138,lncRNA,1,-1,14
LINC02806,lncRNA,1,1,1
AC245100.1,lncRNA,1,1,5
AC245100.5,processed_pseudogene,1,-1,1
Y_RNA,misc_RNA,1,1,1
MIR5087,miRNA,1,-1,1
RNVU1-21,snRNA,1,-1,1
AC245100.6,lncRNA,1,-1,1
RNVU1-1,snRNA,1,-1,1
RNU1-155P,snRNA,1,-1,1
MIR6077,miRNA,1,1,1
RNVU1-2,snRNA,1,-1,1
AC245100.4,transcribed_unprocessed_pseudogene,1,1,7
RNVU1-3,snRNA,1,1,1
AC245100.2,processed_pseudogene,1,1,1
AC245100.8,transcribed_unprocessed_pseudogene,1,-1,1
AC245100.7,TEC,1,1,2
PPIAL4G,protein_coding,1,-1,1
RNVU1-27,snRNA,1,1,1
NBPF14,protein_coding,1,-1,10
NOTCH2NLB,protein_coding,1,-1,1
RNU6-1171P,snRNA,1,1,1
NUDT4B,protein_coding,1,1,1
SEC22B3P,unprocessed_pseudogene,1,-1,1
AC245389.1,processed_pseudogene,1,1,1
PDE4DIP,protein_coding,1,1,50
RN7SKP88,misc_RNA,1,-1,1
RNU2-38P,snRNA,1,-1,1
AC239802.1,lncRNA,1,-1,1
AC239802.2,lncRNA,1,-1,1
AC239804.1,lncRNA,1,1,1
NBPF9,protein_coding,1,-1,9
AC239804.2,unprocessed_pseudogene,1,-1,1
RNVU1-24,snRNA,1,-1,1
AC245297.3,lncRNA,1,1,10
AC245297.1,transcribed_unprocessed_pseudogene,1,-1,2
AC245297.2,lncRNA,1,1,1
7SK,misc_RNA,1,1,1
SEC22B2P,unprocessed_pseudogene,1,1,1
NOTCH2NLC,protein_coding,1,1,3
AC242842.3,protein_coding,1,1,1
NBPF19,protein_coding,1,1,5
PPIAL4C,protein_coding,1,1,1
LINC00869,transcribed_unprocessed_pseudogene,1,1,13
AC242842.2,transcribed_unprocessed_pseudogene,1,1,1
AC242842.1,lncRNA,1,1,1
RNVU1-30,snRNA,1,1,1
FAM91A2P,transcribed_processed_pseudogene,1,1,1
AC243772.3,transcribed_unprocessed_pseudogene,1,-1,6
RNU1-68P,snRNA,1,-1,1
AC243772.1,processed_pseudogene,1,-1,1
FCGR1A,protein_coding,1,1,4
H2BC18,protein_coding,1,-1,5
AC243772.2,lncRNA,1,-1,1
H3C13,protein_coding,1,-1,1
H4C14,protein_coding,1,1,4
H3C14,protein_coding,1,-1,1
H2AC18,protein_coding,1,-1,1
H2BC19P,transcribed_unprocessed_pseudogene,1,1,2
H2BC20P,transcribed_unprocessed_pseudogene,1,-1,2
H2AC19,protein_coding,1,1,1
H3C15,protein_coding,1,1,1
H4C15,protein_coding,1,-1,3
AC239868.1,lncRNA,1,1,1
H2BC21,protein_coding,1,-1,1
H2AC20,protein_coding,1,1,1
H2AC21,protein_coding,1,-1,1
BOLA1,protein_coding,1,1,4
SV2A,protein_coding,1,-1,2
SF3B4,protein_coding,1,-1,2
MTMR11,protein_coding,1,-1,10
OTUD7B,protein_coding,1,-1,3
AC244033.2,lncRNA,1,-1,3
AC244033.1,processed_pseudogene,1,1,1
VPS45,protein_coding,1,1,19
PLEKHO1,protein_coding,1,1,9
AC242988.2,lncRNA,1,1,1
RN7SL480P,misc_RNA,1,1,1
ANP32E,protein_coding,1,-1,10
RNU2-17P,snRNA,1,1,1
AC242988.1,lncRNA,1,-1,1
CA14,protein_coding,1,1,6
APH1A,protein_coding,1,-1,9
C1orf54,protein_coding,1,1,3
CIART,protein_coding,1,1,7
MRPS21,protein_coding,1,1,2
PRPF3,protein_coding,1,1,7
RPRD2,protein_coding,1,1,4
TARS2,protein_coding,1,1,14
MIR6878,miRNA,1,1,1
ECM1,protein_coding,1,1,7
FALEC,lncRNA,1,1,1
ADAMTSL4-AS2,lncRNA,1,-1,1
ADAMTSL4,protein_coding,1,1,8
MIR4257,miRNA,1,1,1
ADAMTSL4-AS1,lncRNA,1,-1,3
RN7SL473P,misc_RNA,1,-1,1
RN7SL600P,misc_RNA,1,-1,1
MCL1,protein_coding,1,-1,4
AL356356.1,snoRNA,1,-1,1
ENSA,protein_coding,1,-1,15
U4,snRNA,1,-1,1
GOLPH3L,protein_coding,1,-1,3
HORMAD1,protein_coding,1,-1,8
RNU6-1042P,snRNA,1,1,1
CTSS,protein_coding,1,-1,6
AL356292.1,processed_pseudogene,1,1,1
CTSK,protein_coding,1,-1,3
UBE2D3P3,processed_pseudogene,1,1,1
ARNT,protein_coding,1,-1,12
RNU6-1309P,snRNA,1,-1,1
RPS27AP6,processed_pseudogene,1,-1,1
CTXND2,protein_coding,1,1,1
CYCSP51,processed_pseudogene,1,1,1
SETDB1,protein_coding,1,1,17
CERS2,protein_coding,1,-1,14
AL590133.2,lncRNA,1,1,2
AL590133.1,lncRNA,1,1,1
ANXA9,protein_coding,1,1,2
MINDY1,protein_coding,1,-1,7
PRUNE1,protein_coding,1,1,11
RNU6-884P,snRNA,1,-1,1
BNIPL,protein_coding,1,1,7
C1orf56,protein_coding,1,1,3
CDC42SE1,protein_coding,1,-1,7
MLLT11,protein_coding,1,1,1
GABPB2,protein_coding,1,1,6
RPS29P29,processed_pseudogene,1,-1,1
AL592424.1,lncRNA,1,-1,1
SEMA6C,protein_coding,1,-1,10
TNFAIP8L2,protein_coding,1,1,1
SCNM1,protein_coding,1,1,7
LYSMD1,protein_coding,1,-1,2
TMOD4,protein_coding,1,-1,6
VPS72,protein_coding,1,-1,6
PIP5K1A,protein_coding,1,1,17
PSMD4,protein_coding,1,1,12
ZNF687-AS1,lncRNA,1,-1,4
ZNF687,protein_coding,1,1,7
PI4KB,protein_coding,1,-1,13
RN7SL444P,misc_RNA,1,-1,1
AL391069.2,lncRNA,1,1,1
RFX5,protein_coding,1,-1,21
AL391069.1,lncRNA,1,1,1
RFX5-AS1,lncRNA,1,1,1
SELENBP1,protein_coding,1,-1,19
PSMB4,protein_coding,1,1,7
POGZ,protein_coding,1,-1,21
RNY4P25,misc_RNA,1,1,1
CGN,protein_coding,1,1,8
AL365436.3,snoRNA,1,-1,1
TUFT1,protein_coding,1,1,7
AL365436.2,lncRNA,1,1,1
MIR554,miRNA,1,1,1
AL365436.1,processed_pseudogene,1,1,1
SNX27,protein_coding,1,1,18
AL391335.1,lncRNA,1,-1,1
RNU6-1062P,snRNA,1,1,1
CELF3,protein_coding,1,-1,7
AL589765.1,lncRNA,1,1,1
RIIAD1,protein_coding,1,1,6
RNU6-662P,snRNA,1,-1,1
AL589765.7,lncRNA,1,1,1
AL589765.3,processed_pseudogene,1,1,1
MRPL9,protein_coding,1,-1,11
OAZ3,protein_coding,1,1,10
AL589765.4,lncRNA,1,-1,1
AL589765.2,lncRNA,1,1,1
AL589765.5,lncRNA,1,-1,1
TDRKH,protein_coding,1,-1,15
TDRKH-AS1,lncRNA,1,1,3
AL589765.6,lncRNA,1,1,1
LINGO4,protein_coding,1,-1,1
RORC,protein_coding,1,-1,8
C2CD4D,protein_coding,1,-1,1
Y_RNA,misc_RNA,1,-1,1
C2CD4D-AS1,lncRNA,1,1,1
THEM5,protein_coding,1,-1,2
THEM4,protein_coding,1,-1,5
AL450992.2,lncRNA,1,1,1
AL450992.3,lncRNA,1,1,1
KRT8P28,processed_pseudogene,1,-1,1
S100A10,protein_coding,1,-1,4
AL450992.1,lncRNA,1,1,1
NBPF18P,unprocessed_pseudogene,1,1,1
S100A11,protein_coding,1,-1,2
SPTLC1P4,processed_pseudogene,1,1,1
AL591893.1,unprocessed_pseudogene,1,-1,1
TCHHL1,protein_coding,1,-1,1
TCHH,protein_coding,1,-1,2
AL589986.1,lncRNA,1,1,1
PUDPP2,transcribed_processed_pseudogene,1,-1,2
RPTN,protein_coding,1,-1,1
FLG-AS1,lncRNA,1,1,18
AL589986.2,lncRNA,1,1,1
HRNR,protein_coding,1,-1,1
FLG,protein_coding,1,-1,1
FLG2,protein_coding,1,-1,1
HMGN3P1,processed_pseudogene,1,1,1
CRNN,protein_coding,1,-1,1
LCE5A,protein_coding,1,1,1
CRCT1,protein_coding,1,1,1
LCE3E,protein_coding,1,-1,1
LCE3D,protein_coding,1,-1,1
LCE3C,protein_coding,1,1,1
LCE3B,protein_coding,1,1,1
LCE3A,protein_coding,1,-1,1
LCEP4,unprocessed_pseudogene,1,-1,1
LCEP3,unprocessed_pseudogene,1,1,1
LCE2D,protein_coding,1,1,1
LCE2C,protein_coding,1,1,1
LCE2B,protein_coding,1,1,1
LCE2A,protein_coding,1,1,1
LCE4A,protein_coding,1,1,2
C1orf68,protein_coding,1,1,1
LCEP2,unprocessed_pseudogene,1,1,1
LCEP1,unprocessed_pseudogene,1,1,1
KPRP,protein_coding,1,1,1
LCE1F,protein_coding,1,1,1
LCE1E,protein_coding,1,1,3
LCE1D,protein_coding,1,1,1
LCE1C,protein_coding,1,-1,2
LCE1B,protein_coding,1,1,1
LCE1A,protein_coding,1,1,1
LCE6A,protein_coding,1,1,1
AL162596.1,protein_coding,1,1,1
SMCP,protein_coding,1,1,1
IVL,protein_coding,1,1,1
LINC01527,lncRNA,1,-1,1
SPRR5,protein_coding,1,1,1
SPRR4,protein_coding,1,1,1
SPRR1A,protein_coding,1,1,1
SPRR3,protein_coding,1,1,4
AL356867.1,unprocessed_pseudogene,1,1,1
AL356867.2,snoRNA,1,-1,1
SPRR1B,protein_coding,1,1,1
SPRR2D,protein_coding,1,-1,4
SPRR2A,protein_coding,1,-1,1
SPRR2B,protein_coding,1,-1,1
SPRR2E,protein_coding,1,-1,2
SPRR2F,protein_coding,1,-1,1
SPRR2C,unprocessed_pseudogene,1,-1,1
SPRR2G,protein_coding,1,-1,1
AL161636.1,lncRNA,1,1,1
LELP1,protein_coding,1,1,1
PRR9,protein_coding,1,1,1
AL161636.2,processed_pseudogene,1,1,1
LORICRIN,protein_coding,1,1,1
PGLYRP3,protein_coding,1,-1,1
PGLYRP4,protein_coding,1,-1,3
RNU6-160P,snRNA,1,1,1
S100A9,protein_coding,1,1,1
S100A12,protein_coding,1,-1,1
LAPTM4BP1,processed_pseudogene,1,-1,1
S100A8,protein_coding,1,-1,3
S100A15A,processed_pseudogene,1,-1,1
S100A7A,protein_coding,1,1,3
S100A7P1,unprocessed_pseudogene,1,-1,1
S100A7L2,protein_coding,1,-1,1
S100A7,protein_coding,1,-1,2
RN7SL44P,misc_RNA,1,-1,1
BX470102.1,lncRNA,1,1,1
S100A6,protein_coding,1,-1,5
S100A5,protein_coding,1,-1,2
S100A4,protein_coding,1,-1,6
S100A3,protein_coding,1,-1,2
S100A2,protein_coding,1,-1,6
BX470102.2,lncRNA,1,-1,1
S100A16,protein_coding,1,-1,5
S100A14,protein_coding,1,-1,6
S100A13,protein_coding,1,-1,6
AL162258.1,lncRNA,1,-1,3
S100A1,protein_coding,1,1,5
AL162258.2,lncRNA,1,-1,2
CHTOP,protein_coding,1,1,7
SNAPIN,protein_coding,1,1,4
ILF2,protein_coding,1,-1,5
NPR1,protein_coding,1,1,3
MIR8083,miRNA,1,-1,1
RN7SL372P,misc_RNA,1,1,1
GEMIN2P1,processed_pseudogene,1,-1,1
Y_RNA,misc_RNA,1,-1,1
INTS3,protein_coding,1,1,11
AL513523.4,lncRNA,1,-1,1
AL513523.3,lncRNA,1,-1,1
SLC27A3,protein_coding,1,1,13
Y_RNA,misc_RNA,1,-1,1
GATAD2B,protein_coding,1,-1,12
AL513523.2,transcribed_unprocessed_pseudogene,1,1,2
AL513523.1,processed_pseudogene,1,-1,1
AL831737.1,processed_pseudogene,1,1,1
AL358472.5,lncRNA,1,1,2
DENND4B,protein_coding,1,-1,13
CRTC2,protein_coding,1,-1,10
SLC39A1,protein_coding,1,-1,10
AL358472.7,protein_coding,1,-1,1
MIR6737,miRNA,1,-1,1
AL358472.4,lncRNA,1,1,1
AL358472.3,lncRNA,1,1,1
CREB3L4,protein_coding,1,1,13
JTB,protein_coding,1,-1,6
AL358472.6,protein_coding,1,-1,1
AL358472.2,lncRNA,1,1,1
RAB13,protein_coding,1,-1,5
RPS27,protein_coding,1,1,5
NUP210L,protein_coding,1,-1,3
AL358472.1,processed_pseudogene,1,1,1
RNU6-179P,snRNA,1,-1,1
RPS7P2,processed_pseudogene,1,1,1
MIR5698,miRNA,1,-1,1
TPM3,protein_coding,1,-1,27
RN7SL431P,misc_RNA,1,-1,1
MIR190B,miRNA,1,-1,1
C1orf189,protein_coding,1,-1,1
C1orf43,protein_coding,1,-1,11
UBAP2L,protein_coding,1,1,20
SNORA58B,snoRNA,1,1,1
HAX1,protein_coding,1,1,11
AL354980.1,snoRNA,1,1,1
RNU6-239P,snRNA,1,1,1
RNU6-121P,snRNA,1,1,1
AL354980.2,unprocessed_pseudogene,1,1,1
AQP10,protein_coding,1,1,3
ATP8B2,protein_coding,1,1,7
RNU7-57P,snRNA,1,1,1
AL162591.1,unprocessed_pseudogene,1,-1,1
RPSAP17,processed_pseudogene,1,-1,1
IL6R-AS1,lncRNA,1,-1,1
IL6R,protein_coding,1,1,8
PSMD8P1,processed_pseudogene,1,-1,1
SHE,protein_coding,1,-1,3
AL162591.2,lncRNA,1,1,1
TDRD10,protein_coding,1,1,5
UBE2Q1,protein_coding,1,-1,7
UBE2Q1-AS1,lncRNA,1,1,1
AL592078.2,lncRNA,1,-1,3
CHRNB2,protein_coding,1,1,5
AL592078.1,lncRNA,1,-1,1
ADAR,protein_coding,1,-1,21
AL606500.1,lncRNA,1,1,1
KCNN3,protein_coding,1,-1,5
PMVK,protein_coding,1,-1,1
AL451085.1,lncRNA,1,1,1
PBXIP1,protein_coding,1,-1,6
Metazoa_SRP,misc_RNA,1,-1,1
PYGO2,protein_coding,1,-1,3
AL451085.2,lncRNA,1,1,1
SHC1,protein_coding,1,-1,11
CKS1B,protein_coding,1,1,7
MIR4258,miRNA,1,1,1
FLAD1,protein_coding,1,1,12
LENEP,protein_coding,1,1,2
ZBTB7B,protein_coding,1,1,7
DCST2,protein_coding,1,-1,5
DCST1,protein_coding,1,1,5
DCST1-AS1,lncRNA,1,-1,1
ADAM15,protein_coding,1,1,32
EFNA4,protein_coding,1,1,3
AL691442.2,protein_coding,1,1,1
EFNA3,protein_coding,1,1,3
AL691442.1,misc_RNA,1,1,1
EFNA1,protein_coding,1,1,5
SLC50A1,protein_coding,1,1,15
DPM3,protein_coding,1,-1,3
HMGN2P18,processed_pseudogene,1,1,1
KRTCAP2,protein_coding,1,-1,9
AL713999.1,protein_coding,1,-1,1
TRIM46,protein_coding,1,1,11
MUC1,protein_coding,1,-1,29
AC234582.1,lncRNA,1,1,6
MIR92B,miRNA,1,1,1
THBS3,protein_coding,1,-1,11
MTX1,protein_coding,1,1,7
AC234582.2,lncRNA,1,-1,1
GBAP1,transcribed_unprocessed_pseudogene,1,-1,8
MTX1P1,unprocessed_pseudogene,1,1,1
GBA,protein_coding,1,-1,14
FAM189B,protein_coding,1,-1,10
SCAMP3,protein_coding,1,-1,9
CLK2,protein_coding,1,-1,7
HCN3,protein_coding,1,1,4
PKLR,protein_coding,1,-1,3
FDPS,protein_coding,1,1,21
RUSC1-AS1,lncRNA,1,-1,4
RUSC1,protein_coding,1,1,16
ASH1L,protein_coding,1,-1,7
MIR555,miRNA,1,-1,1
RNU6-106P,snRNA,1,-1,1
ASH1L-IT1,lncRNA,1,-1,1
RNU6-1297P,snRNA,1,1,1
POU5F1P4,processed_pseudogene,1,1,1
ASH1L-AS1,lncRNA,1,1,2
AL353807.4,processed_pseudogene,1,-1,1
DAP3P1,unprocessed_pseudogene,1,1,1
AL353807.1,processed_pseudogene,1,-1,1
AL353807.2,lncRNA,1,-1,1
MSTO1,protein_coding,1,1,19
AL353807.3,unprocessed_pseudogene,1,-1,1
AL353807.5,lncRNA,1,-1,1
YY1AP1,protein_coding,1,-1,25
DAP3,protein_coding,1,1,26
AL162734.1,lncRNA,1,-1,1
MSTO2P,unprocessed_pseudogene,1,1,1
GON4L,protein_coding,1,-1,19
AL139128.1,processed_pseudogene,1,1,1
SYT11,protein_coding,1,1,1
AL139128.2,snRNA,1,1,1
RIT1,protein_coding,1,-1,9
KHDC4,protein_coding,1,-1,10
SNORA80E,snoRNA,1,-1,1
SCARNA4,scaRNA,1,-1,1
SCARNA4,scaRNA,1,-1,1
RXFP4,protein_coding,1,1,1
ARHGEF2,protein_coding,1,-1,20
MIR6738,miRNA,1,-1,1
AL355388.1,lncRNA,1,1,1
ARHGEF2-AS1,lncRNA,1,1,1
AL355388.2,lncRNA,1,1,3
SSR2,protein_coding,1,-1,18
UBQLN4,protein_coding,1,-1,3
LAMTOR2,protein_coding,1,1,6
RAB25,protein_coding,1,1,5
MEX3A,protein_coding,1,-1,2
LMNA,protein_coding,1,1,39
SEMA4A,protein_coding,1,1,16
AL135927.1,snoRNA,1,-1,1
SLC25A44,protein_coding,1,1,5
PMF1-BGLAP,protein_coding,1,1,4
PMF1,protein_coding,1,1,6
BGLAP,protein_coding,1,1,2
PAQR6,protein_coding,1,-1,18
SMG5,protein_coding,1,-1,5
